| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| people       | certifications              | 8                | start_date                                        | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 9                | end_date                                          | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 10               | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 11               | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | certifications              | 12               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | education_web_addresses     | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | education_web_addresses     | id                      |
| people       | education_web_addresses     | 2                | education_id                                      | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | educations                  | id                      |
| people       | education_web_addresses     | 3                | url                                               | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | education_web_addresses     | 4                | rank                                              | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | education_web_addresses     | 5                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | education_web_addresses     | 6                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | educations                  | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | educations                  | id                      |
| people       | educations                  | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | identities                  | people_id               |
| people       | educations                  | 3                | educational_establishment                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | educations                  | 4                | diploma                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | educations                  | 5                | specialization                                    | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | educations                  | 6                | start_date                                        | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | educations                  | 7                | end_date                                          | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | educations                  | 8                | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | educations                  | 9                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
